 P0 P1 P2 P3
2_C 0 0 1 0
3_C 1 0 0 0
4_C 0 0 1 0
5_C 1 0 0 0
6_C 0 0 1 0
7_C 1 0 0 0
8_C 0 1 0 0
9_C 0 1 0 0
10_C 0 0 1 0
J_C 0 1 0 0
Q_C 0 0 0 1
K_C 1 0 0 0
A_C 1 0 0 0
2_D 0 0 1 0
3_D 0 0 1 0
4_D 0 0 0 1
5_D 0 1 0 0
6_D 0 1 0 0
7_D 0 0 0 1
8_D 0 0 0 1
9_D 0 0 0 1
10_D 1 0 0 0
J_D 0 0 1 0
Q_D 0 0 1 0
K_D 1 0 0 0
A_D 0 0 1 0
2_H 0 1 0 0
3_H 0 1 0 0
4_H 0 1 0 0
5_H 0 0 0 1
6_H 1 0 0 0
7_H 0 0 0 1
8_H 0 1 0 0
9_H 1 0 0 0
10_H 0 1 0 0
J_H 1 0 0 0
Q_H 0 1 0 0
K_H 1 0 0 0
A_H 0 0 0 1
2_S 0 1 0 0
3_S 0 0 0 1
4_S 0 0 1 0
5_S 0 0 0 1
6_S 1 0 0 0
7_S 0 0 1 0
8_S 0 0 0 1
9_S 0 0 1 0
10_S 0 0 0 1
J_S 0 1 0 0
Q_S 0 0 1 0
K_S 1 0 0 0
A_S 0 0 0 1
